timestamp,score,length,event
2025-11-22 20:55:31,10,4,EAT
2025-11-22 20:55:34,20,5,EAT
2025-11-22 20:55:37,30,6,EAT
2025-11-22 20:55:39,40,7,EAT
2025-11-22 20:55:44,50,8,EAT
2025-11-22 20:55:46,60,9,EAT
2025-11-22 20:55:49,70,10,EAT
2025-11-22 20:55:54,80,11,EAT
2025-11-22 20:55:58,90,12,EAT
2025-11-22 20:56:02,100,13,EAT
2025-11-22 20:56:05,110,14,EAT
2025-11-22 20:56:11,120,15,EAT
2025-11-22 20:56:13,130,16,EAT
2025-11-22 20:56:16,140,17,EAT
2025-11-22 20:56:17,150,18,EAT
2025-11-22 20:56:18,160,19,EAT
2025-11-22 20:56:21,170,20,EAT
2025-11-22 20:56:24,180,21,EAT
2025-11-22 20:56:25,190,22,EAT
2025-11-22 20:56:27,200,23,EAT
2025-11-22 20:56:31,200,23,CRASH
2025-11-22 20:56:37,10,4,EAT
2025-11-22 20:56:40,20,5,EAT
2025-11-22 20:56:45,30,6,EAT
2025-11-22 20:56:47,40,7,EAT
2025-11-22 20:56:52,50,8,EAT
2025-11-22 20:56:54,60,9,EAT
2025-11-22 20:56:57,70,10,EAT
2025-11-22 20:56:59,80,11,EAT
2025-11-22 20:57:03,90,12,EAT
2025-11-22 20:57:07,100,13,EAT
2025-11-22 20:57:11,110,14,EAT
2025-11-22 20:57:15,120,15,EAT
2025-11-22 20:57:17,130,16,EAT
2025-11-22 20:57:18,140,17,EAT
2025-11-22 20:57:22,150,18,EAT
2025-11-22 20:57:25,160,19,EAT
2025-11-22 20:57:27,170,20,EAT
2025-11-22 20:57:28,180,21,EAT
2025-11-22 20:57:35,190,22,EAT
2025-11-22 20:57:37,200,23,EAT
2025-11-22 20:57:39,210,24,EAT
2025-11-22 20:57:42,220,25,EAT
2025-11-22 20:57:44,230,26,EAT
2025-11-22 20:57:50,240,27,EAT
2025-11-22 20:58:01,250,28,EAT
2025-11-22 20:58:03,260,29,EAT
2025-11-22 20:58:06,270,30,EAT
2025-11-22 20:58:09,280,31,EAT
2025-11-22 20:58:14,290,32,EAT
2025-11-22 20:58:17,300,33,EAT
2025-11-22 20:58:23,310,34,EAT
2025-11-22 20:58:29,320,35,EAT
2025-11-22 20:58:30,330,36,EAT
2025-11-22 20:58:32,340,37,EAT
2025-11-22 20:58:34,350,38,EAT
2025-11-22 20:58:37,360,39,EAT
2025-11-22 20:58:41,370,40,EAT
2025-11-22 20:58:48,380,41,EAT
2025-11-22 20:58:53,380,41,CRASH
